firstname,p_r_f_his,p_r_f_whi,p_r_f_bla,p_r_f_asi,p_r_f_oth
DRAGAN,0,0.971428571,0,0.028571429,0
DRAKE,0,0.933333333,0.033333333,0.033333333,0
DREW,0.018348624,0.97706422,0.004587156,0,0
DRU,0,1,0,0,0
DUANE,0.006076389,0.921875,0.055555556,0.013888889,0.002604167
DUC,0.00625,0.01875,0,0.96875,0.00625
DUDLEY,0.017241379,0.827586207,0.120689655,0.034482759,0
DUKE,0.042553191,0.617021277,0,0.319148936,0.021276596
DULCE,0.772151899,0.139240506,0.012658228,0.075949367,0
DUNCAN,0.006896552,0.931034483,0.062068966,0,0
DUNG,0.004694836,0.023474178,0,0.96713615,0.004694836
DUONG,0,0.052631579,0,0.947368421,0
DUSTIN,0.008481764,0.971162002,0.002544529,0.01187447,0.005937235
DUSTY,0.013157895,0.973684211,0,0.013157895,0
DUY,0,0.024390244,0,0.975609756,0
DWAIN,0,0.836734694,0.163265306,0,0
DWAINE,0.027777778,0.861111111,0.111111111,0,0
DWAYNE,0.008196721,0.74795082,0.231557377,0.008196721,0.004098361
DWIGHT,0.011217949,0.790064103,0.166666667,0.030448718,0.001602564
DYAN,0.025641026,0.897435897,0.051282051,0.025641026,0
DYLAN,0.00990099,0.940594059,0.014851485,0.034653465,0
DZUNG,0,0,0,1,0
EARL,0.00716479,0.83828045,0.13408393,0.018423746,0.002047083
EARLE,0,0.90625,0.0625,0.03125,0
EARLENE,0,0.744680851,0.234042553,0.021276596,0
EARLINE,0,0.484848485,0.484848485,0.03030303,0
EARNEST,0,0.561797753,0.404494382,0.02247191,0.011235955
EARNESTINE,0,0.161290323,0.838709677,0,0
EBONY,0.034482759,0.051724138,0.879310345,0.017241379,0.017241379
ED,0.044776119,0.843283582,0.007462687,0.089552239,0.014925373
EDDIE,0.125360231,0.501440922,0.246397695,0.122478386,0.004322767
EDDY,0.342592593,0.453703704,0.12962963,0.074074074,0
EDEN,0.074626866,0.537313433,0.134328358,0.208955224,0.044776119
EDGAR,0.500587544,0.387779083,0.038777908,0.065804935,0.007050529
EDGARDO,0.508064516,0.10483871,0,0.387096774,0
EDIE,0.029411765,0.941176471,0,0,0.029411765
EDILBERTO,0.405405405,0.108108108,0,0.486486486,0
EDISON,0.326923077,0.365384615,0.153846154,0.134615385,0.019230769
EDITH,0.166666667,0.695512821,0.094551282,0.040064103,0.003205128
EDMOND,0.029268293,0.736585366,0.07804878,0.156097561,0
EDMUND,0.04845815,0.837004405,0.04185022,0.070484581,0.002202643
EDMUNDO,0.650793651,0.158730159,0,0.19047619,0
EDNA,0.119565217,0.610869565,0.126086957,0.134782609,0.008695652
EDUARD,0.042857143,0.914285714,0,0.028571429,0.014285714
EDUARDO,0.788144896,0.10428101,0.003293085,0.103183315,0.001097695
EDWARD,0.041435918,0.892207278,0.034216772,0.029371044,0.002768987
EDWIN,0.196754564,0.674104124,0.046653144,0.079783638,0.00270453
EDWINA,0.034090909,0.590909091,0.261363636,0.113636364,0
EDYTA,0,1,0,0,0
EFFIE,0.02173913,0.695652174,0.173913043,0.108695652,0
EFRAIN,0.9342723,0.056338028,0,0.009389671,0
EFREN,0.751677852,0.060402685,0,0.187919463,0
EILEEN,0.020679468,0.944854751,0.009354998,0.02314131,0.001969473
EKATERINA,0,1,0,0,0
ELAINA,0.020408163,0.918367347,0.040816327,0.020408163,0
ELAINE,0.02072758,0.877749577,0.044839255,0.05499154,0.001692047
ELANA,0.032786885,0.885245902,0.06557377,0.016393443,0
ELBA,0.875,0.109375,0,0.015625,0
ELBERT,0.030927835,0.525773196,0.371134021,0.072164948,0
ELDA,0.648148148,0.296296296,0.055555556,0,0
ELDEN,0,0.866666667,0.066666667,0.066666667,0
ELDON,0,0.99137931,0,0.00862069,0
ELEANOR,0.035360679,0.82602546,0.073550212,0.062234795,0.002828854
ELEANORE,0.1,0.8,0,0.066666667,0.033333333
ELEAZAR,0.901960784,0.058823529,0.019607843,0.019607843,0
ELEFTHERIOS,0,1,0,0,0
ELENA,0.271067416,0.650280899,0.009831461,0.064606742,0.004213483
ELENI,0,0.949152542,0.050847458,0,0
ELEONORA,0.088235294,0.882352941,0,0.029411765,0
ELI,0.109452736,0.810945274,0.059701493,0.019900498,0
ELIA,0.741573034,0.247191011,0.011235955,0,0
ELIANA,0.548387097,0.419354839,0.032258065,0,0
ELIAS,0.482315113,0.437299035,0.045016077,0.032154341,0.003215434
ELIDA,0.875,0.125,0,0,0
ELIE,0.0625,0.895833333,0.020833333,0.020833333,0
ELIJAH,0.030612245,0.551020408,0.367346939,0.040816327,0.010204082
ELIN,0,1,0,0,0
ELINOR,0,0.928571429,0.035714286,0.035714286,0
ELIO,0.40625,0.59375,0,0,0
ELIOT,0.130434783,0.826086957,0,0.043478261,0
ELISA,0.254950495,0.658415842,0.01980198,0.064356436,0.002475248
ELISABETH,0.026785714,0.962053571,0.002232143,0.006696429,0.002232143
ELISE,0.009375,0.9375,0.034375,0.0125,0.00625
ELISEO,0.873786408,0.019417476,0,0.106796117,0
ELISHA,0.068965517,0.83908046,0.091954023,0,0
ELISSA,0.036764706,0.955882353,0,0,0.007352941
ELIZA,0.117021277,0.606382979,0.170212766,0.095744681,0.010638298
ELIZABETH,0.059668682,0.905472246,0.015231216,0.017586559,0.002041297
ELKE,0,1,0,0,0
ELLA,0.016877637,0.675105485,0.257383966,0.037974684,0.012658228
ELLEN,0.00728863,0.949708455,0.012390671,0.029154519,0.001457726
ELLIE,0.089285714,0.767857143,0.017857143,0.125,0
ELLIOT,0.052356021,0.853403141,0.062827225,0.031413613,0
ELLIOTT,0.009950249,0.825870647,0.124378109,0.034825871,0.004975124
ELLIS,0.025,0.733333333,0.233333333,0.008333333,0
ELLYN,0,0.93877551,0,0.06122449,0
ELMA,0.338709677,0.338709677,0.129032258,0.193548387,0
ELMER,0.209375,0.6375,0.075,0.06875,0.009375
ELOISA,0.636363636,0.218181818,0.018181818,0.127272727,0
ELOISE,0.139534884,0.639534884,0.186046512,0.023255814,0.011627907
ELOY,0.880952381,0.071428571,0.011904762,0.023809524,0.011904762
ELPIDIO,0.485714286,0.228571429,0,0.285714286,0
ELSA,0.560137457,0.329896907,0.041237113,0.065292096,0.003436426
ELSIE,0.108597285,0.669683258,0.140271493,0.067873303,0.013574661
ELTON,0,0.714285714,0.246753247,0.025974026,0.012987013
ELVA,0.714285714,0.270676692,0.007518797,0.007518797,0
ELVIA,0.891304348,0.072463768,0.028985507,0.007246377,0
ELVIN,0.301204819,0.493975904,0.13253012,0.072289157,0
ELVIRA,0.50209205,0.309623431,0.037656904,0.146443515,0.0041841
ELVIS,0.44047619,0.214285714,0.238095238,0.095238095,0.011904762
ELWIN,0,1,0,0,0
ELWOOD,0.014492754,0.84057971,0.144927536,0,0
ELYSE,0.018691589,0.934579439,0.018691589,0.018691589,0.009345794
ELYSSA,0,1,0,0,0
ELZBIETA,0.032258065,0.951612903,0.016129032,0,0
EMAD,0.018518519,0.777777778,0.018518519,0.166666667,0.018518519
EMANUEL,0.1875,0.578125,0.2109375,0.0234375,0
