firstname,p_f_r_his,p_f_r_whi,p_f_r_bla,p_f_r_asi,p_f_r_oth
AVIVA,0,1.55E-05,0,0,0
AXEL,4.37E-05,1.00E-05,2.68E-05,0,0
AYANNA,0,0,0.000133945,0,0
AZIZ,5.46E-06,1.37E-05,2.68E-05,5.99E-05,0
AZUCENA,0.000185637,1.82E-06,0,2.40E-05,0
BA,0,0,0,0.000107825,0
BABAK,0,1.41E-05,8.93E-06,1.20E-05,0
BABETTE,0,1.46E-05,0,1.20E-05,0
BAHMAN,0,1.19E-05,8.93E-06,1.80E-05,0.000116836
BAHRAM,0,1.50E-05,0,1.80E-05,0
BAILEY,0,2.01E-05,0,5.99E-06,0
BALAJI,5.46E-06,2.74E-06,8.93E-06,0.000227631,0.000116836
BALDEV,0,4.56E-06,0,0.000125796,0.000233672
BALTAZAR,0.000251156,9.12E-07,8.93E-06,2.40E-05,0
BALWINDER,0,3.65E-06,0,0.000149757,0
BAMBI,0,2.01E-05,8.93E-06,5.99E-06,0
BAO,0,9.12E-07,0,0.00064096,0.000233672
BARBARA,0.001141122,0.005455759,0.005223867,0.000449271,0.002570394
BARBRA,1.09E-05,2.78E-05,2.68E-05,0,0
BARNEY,1.64E-05,2.28E-05,5.36E-05,3.59E-05,0
BARRETT,0,4.01E-05,1.79E-05,5.99E-06,0
BARRIE,0,1.87E-05,0,0,0
BARRON,0,1.00E-05,7.14E-05,0,0.000116836
BARRY,8.19E-05,0.001091334,0.000651867,0.000155747,0.000934689
BART,1.09E-05,0.000123134,1.79E-05,3.00E-05,0
BARTHOLOMEW,5.46E-06,1.69E-05,6.25E-05,5.99E-06,0.000116836
BARTLEY,0,1.46E-05,0,0,0
BARTON,1.09E-05,6.80E-05,0,5.99E-06,0
BASIL,5.46E-06,3.15E-05,5.36E-05,0,0
BASSAM,0,2.14E-05,0,3.00E-05,0.000116836
BAXTER,0,6.84E-06,0,0,0
BEATA,0,3.56E-05,0,1.80E-05,0
BEATE,0,1.37E-05,0,5.99E-06,0
