firstname,p_f_r_his,p_f_r_whi,p_f_r_bla,p_f_r_asi,p_f_r_oth
PORTIA,5.46E-06,1.46E-05,0.000169664,5.39E-05,0.000233672
PRADEEP,0,4.10E-06,0,0.000377388,0.000116836
PRAKASH,0,9.12E-06,0,0.00041932,0
PRASAD,0,3.19E-06,0,0.000371398,0.000116836
PRASHANT,0,6.38E-06,0,0.000383378,0.000350508
PRAVEEN,5.46E-06,8.21E-06,8.93E-06,0.000335456,0.000233672
PRAVIN,0,5.02E-06,0,0.000185699,0.000233672
PREETI,0,1.37E-06,0,0.000173718,0.000116836
PREM,0,6.38E-06,0,0.000167728,0.000233672
PRESTON,5.46E-06,0.00010398,0.000250031,4.79E-05,0.000350508
PRINCE,5.46E-06,1.82E-06,0.000169664,4.19E-05,0.000116836
PRISCILLA,0.000393114,0.000198839,0.000634008,0.000233621,0.000233672
PRITI,0,5.02E-06,0,0.00020966,0.000233672
PRIYA,0,4.56E-06,0,0.000281543,0.000233672
PRUDENCE,5.46E-06,1.46E-05,3.57E-05,0,0
PUI,0,0,0,0.000161738,0
QI,5.46E-06,9.12E-07,0,0.000467242,0
QIAN,5.46E-06,0,0,0.000311495,0
QIANG,0,0,0,0.000515164,0
QIN,5.46E-06,0,0,0.000239611,0.000116836
QING,5.46E-06,1.82E-06,0,0.00062299,0
QIU,0,0,0,8.99E-05,0
QUAN,0,1.37E-06,0,0.000605019,0
QUANG,1.09E-05,9.12E-07,0,0.000670912,0.000116836
QUENTIN,0,3.37E-05,0.000214313,3.59E-05,0
QUINCY,0,6.84E-06,0.000169664,3.59E-05,0
QUINN,1.09E-05,3.47E-05,3.57E-05,5.39E-05,0
QUINTIN,1.64E-05,1.00E-05,0.000116086,1.20E-05,0
QUINTON,5.46E-06,1.05E-05,0.000178594,5.99E-06,0
QUOC,0,9.12E-07,0,0.000395359,0
QUY,0,9.12E-07,0,0.00021565,0
QUYEN,5.46E-06,1.82E-06,0,0.000383378,0
QUYNH,0,1.82E-06,0,0.000293524,0.000116836
RACHAEL,0.000131038,0.000191998,8.93E-05,3.00E-05,0.000233672
RACHEAL,2.18E-05,1.23E-05,8.93E-06,0,0
RACHEL,0.000742549,0.001283788,0.000634008,0.000437291,0.00058418
RACHELE,5.46E-06,1.78E-05,0,0,0
RACHELLE,6.55E-05,0.000137728,7.14E-05,4.79E-05,0
RAE,1.09E-05,6.80E-05,6.25E-05,3.59E-05,0
RAELENE,0,9.58E-06,0,0,0
RAFAEL,0.005388937,4.51E-05,2.68E-05,0.000161738,0
RAFAELA,0.000256616,2.74E-06,8.93E-06,1.80E-05,0
RAFAL,1.64E-05,1.55E-05,8.93E-06,0,0
RAFFAELE,0,1.09E-05,0,0,0
RAFFI,0,1.46E-05,0,5.99E-06,0
RAFI,0,1.19E-05,0,2.40E-05,0
RAHUL,0,1.32E-05,8.93E-06,0.000509174,0.000350508
RAINER,5.46E-06,1.37E-05,0,0,0
RAISA,0,1.50E-05,8.93E-06,0,0
RAJ,0,9.58E-06,0,0.000443281,0
RAJA,0,5.47E-06,2.68E-05,0.00021565,0
RAJAN,0,7.75E-06,0,0.000173718,0.000116836
RAJEEV,0,2.28E-06,0,0.000383378,0.000116836
RAJENDRA,0,8.21E-06,2.68E-05,0.000401349,0.000350508
RAJESH,1.09E-05,2.51E-05,0,0.001449649,0.000817853
RAJINDER,5.46E-06,7.75E-06,0,0.000269563,0.000350508
RAJIV,0,1.00E-05,0,0.000473232,0
RAJU,0,2.74E-06,0,0.00020367,0.000350508
RAKESH,5.46E-06,1.19E-05,8.93E-06,0.000670912,0.000350508
RALEIGH,5.46E-06,1.73E-05,8.93E-06,0,0
RALF,5.46E-06,2.05E-05,0,0,0
RALPH,0.000726169,0.001001492,0.000955477,0.000167728,0.001518869
RAM,0,1.37E-05,0,0.000299514,0.000350508
RAMA,0,4.56E-06,0,0.000227631,0
RAMAN,0,2.74E-06,0,0.000167728,0
RAMESH,1.09E-05,1.82E-05,0,0.000856611,0.000467344
RAMI,0,1.64E-05,0,3.59E-05,0
RAMIN,0,2.28E-05,0,5.39E-05,0
RAMIRO,0.001801772,7.75E-06,8.93E-06,3.59E-05,0
RAMON,0.004318794,5.15E-05,0.000116086,0.000479223,0.000233672
RAMONA,0.000698869,0.000151866,0.000303609,0.000119806,0.000233672
RANA,1.09E-05,3.10E-05,1.79E-05,0.000119806,0
RANAE,0,1.37E-05,0,0,0
RAND,5.46E-06,3.15E-05,8.93E-06,1.20E-05,0
RANDA,0,2.23E-05,1.79E-05,1.80E-05,0
RANDAL,2.73E-05,0.000196103,4.46E-05,5.39E-05,0.000233672
RANDALL,0.000109198,0.001240463,0.000250031,0.000233621,0.00058418
RANDEE,5.46E-06,2.14E-05,0,0,0
RANDEL,0,2.14E-05,8.93E-06,0,0
RANDELL,1.64E-05,3.24E-05,4.46E-05,0,0
RANDI,2.18E-05,0.000130431,6.25E-05,5.99E-06,0
RANDOLPH,7.64E-05,0.000187894,0.000508992,0.000101835,0.000233672
RANDON,0,6.84E-06,0,0,0
RANDY,0.000300295,0.001273299,0.000544711,0.000557096,0.001051525
RANIA,0,1.28E-05,0,1.80E-05,0
RANJIT,0,8.21E-06,0,0.000251592,0.000116836
RAOUL,2.73E-05,7.75E-06,3.57E-05,4.19E-05,0
RAPHAEL,9.28E-05,2.55E-05,0.000142875,4.19E-05,0
RAQUEL,0.001206641,5.75E-05,0.000160734,0.000137777,0.000233672
RASHID,0,4.10E-06,4.46E-05,0.000107825,0
RASHMI,0,5.02E-06,0,0.000317485,0
RAUL,0.004946684,3.28E-05,4.46E-05,0.000185699,0.000116836
RAVI,0,1.78E-05,0,0.000892552,0.000817853
RAVINDER,1.09E-05,6.84E-06,0,0.000305504,0
RAVINDRA,0,2.28E-06,8.93E-06,0.000227631,0
RAY,0.000371274,0.000362562,0.000616148,0.000371398,0.00058418
RAYMOND,0.001556076,0.002008,0.002018109,0.001593415,0.001752541
RAYMUNDO,0.000529612,2.28E-06,0,3.00E-05,0
RAYNA,5.46E-06,1.14E-05,6.25E-05,5.99E-06,0.000233672
REAGAN,0,1.37E-05,0,5.99E-06,0
REBA,0,3.56E-05,6.25E-05,1.20E-05,0.000116836
REBECA,0.000300295,1.32E-05,0,0,0
REBECCA,0.001375899,0.003100702,0.000535781,0.000593038,0.002219886
REBECKA,0,7.75E-06,0,0,0
REBEKAH,3.28E-05,0.000170108,3.57E-05,2.40E-05,0
REED,0,8.44E-05,8.93E-06,1.80E-05,0
REENA,0,9.58E-06,0,0.000173718,0.000233672
REESE,0,1.64E-05,0,0,0
REFUGIO,0.000414954,0,0,0,0.000116836
REGAN,5.46E-06,4.06E-05,1.79E-05,2.40E-05,0
REGENA,0,1.05E-05,0,0,0
REGGIE,1.64E-05,1.69E-05,9.82E-05,1.80E-05,0
REGINA,0.000475013,0.000512147,0.001634133,0.00020966,0.000701016
REGINALD,4.91E-05,6.98E-05,0.002768203,7.79E-05,0.000233672
REID,0,5.84E-05,8.93E-06,5.99E-05,0.000116836
REINA,0.000464093,1.19E-05,8.93E-06,1.80E-05,0
REINALDO,0.000256616,3.65E-06,0,1.20E-05,0
REKHA,0,6.84E-06,8.93E-06,0.000197679,0.000116836
REMEDIOS,4.91E-05,2.28E-06,0,0.000233621,0
RENA,1.64E-05,6.98E-05,0.000142875,2.40E-05,0
RENAE,1.64E-05,7.25E-05,5.36E-05,0,0.000116836
RENATA,9.28E-05,5.56E-05,3.57E-05,0,0
RENATE,5.46E-06,4.10E-05,0,5.99E-06,0
RENATO,0.000158338,1.73E-05,1.79E-05,0.000323475,0.000116836
RENE,0.00196011,0.00017558,0.000187523,0.000191689,0.000350508
RENEA,0,1.14E-05,9.82E-05,0,0
RENEE,0.000245696,0.000964551,0.000991195,0.000227631,0.000934689
RENITA,0,1.23E-05,0.000214313,5.99E-06,0
RENU,0,3.65E-06,0,0.000161738,0
RENUKA,0,3.19E-06,0,0.000143767,0.000116836
RETHA,0,1.28E-05,4.46E-05,0,0
REUBEN,0.000109198,2.92E-05,0.000196453,1.80E-05,0
REVA,0,2.14E-05,0.000125016,0,0.000116836
REX,2.18E-05,0.000181053,1.79E-05,0.000227631,0
REY,0.000125578,2.28E-06,0,0.000107825,0
REYES,0.000283916,4.56E-07,0,5.99E-06,0
REYNA,0.000436793,4.10E-06,1.79E-05,0,0
REYNALDO,0.000950025,6.84E-06,1.79E-05,0.000455262,0
REYNOLD,0,1.32E-05,7.14E-05,3.59E-05,0
REZA,0,4.42E-05,0,0.000137777,0
RHEA,1.09E-05,3.15E-05,5.36E-05,3.59E-05,0.000116836
RHETT,0,3.60E-05,0,0,0
RHIANNON,5.46E-06,2.55E-05,0,0,0
RHODA,3.82E-05,3.28E-05,0.000142875,4.19E-05,0
RHONDA,9.83E-05,0.000864676,0.001464469,4.19E-05,0.001285197
RIAN,0,1.41E-05,1.79E-05,0,0
RICARDO,0.005285199,6.89E-05,0.000428625,0.000389368,0
RICH,0,2.92E-05,0,5.99E-06,0
RICHARD,0.00454811,0.012406002,0.003652242,0.003132918,0.007594345
RICHELLE,0,3.47E-05,3.57E-05,2.40E-05,0
RICHIE,1.09E-05,1.09E-05,5.36E-05,1.80E-05,0
RICHMOND,0,1.09E-05,2.68E-05,4.19E-05,0
RICK,0.000207477,0.000582379,8.93E-05,0.000233621,0.000817853
RICKEY,5.46E-06,0.000108541,0.000348258,1.20E-05,0.000116836
RICKI,5.46E-06,1.46E-05,2.68E-05,5.99E-06,0
RICKIE,5.46E-06,4.93E-05,0.000116086,5.99E-06,0
RICKY,0.000163797,0.000456965,0.000741164,0.000365407,0.000467344
RICO,4.37E-05,5.02E-06,6.25E-05,6.59E-05,0.000116836
RIGOBERTO,0.00128854,2.74E-06,0,5.99E-06,0.000116836
RIKKI,0,1.60E-05,8.93E-06,0,0
RILEY,0,2.69E-05,8.04E-05,5.99E-06,0
RIMA,0,1.50E-05,0,1.80E-05,0
RINA,7.64E-05,1.69E-05,8.93E-06,0.000125796,0.000116836
RISA,5.46E-06,2.19E-05,0,5.99E-06,0
RITA,0.000879046,0.000716003,0.000821531,0.000658931,0.000467344
RITCHIE,5.46E-06,1.14E-05,1.79E-05,1.80E-05,0
RITESH,0,2.74E-06,0,0.000155747,0.000116836
RITU,0,3.19E-06,0,0.000197679,0.000116836
ROB,5.46E-06,6.38E-05,8.93E-06,0,0.000116836
ROBB,5.46E-06,3.01E-05,0,1.20E-05,0
ROBBIE,1.09E-05,9.90E-05,0.000241102,5.99E-06,0
ROBBIN,0,4.65E-05,0.000107156,0,0
ROBBY,5.46E-06,2.96E-05,0,1.80E-05,0
ROBERT,0.005634633,0.02080102,0.009313664,0.002671667,0.014955018
ROBERTA,0.000245696,0.000616127,0.000419695,8.39E-05,0.000467344
ROBERTO,0.005487216,7.30E-05,3.57E-05,0.000473232,0
ROBIN,0.000180177,0.00183014,0.001401961,0.000281543,0.000934689
ROBYN,3.82E-05,0.000394942,0.000178594,5.99E-05,0.000350508
ROCCO,1.64E-05,8.80E-05,0,5.99E-06,0
ROCHELLE,3.82E-05,0.000182877,0.000553641,5.39E-05,0
ROCIO,0.000802608,3.65E-06,0,5.99E-06,0
ROCK,1.09E-05,1.78E-05,8.93E-06,5.99E-06,0
ROCKY,4.91E-05,5.70E-05,1.79E-05,7.79E-05,0
ROD,4.37E-05,6.16E-05,3.57E-05,1.20E-05,0.000116836
RODD,0,9.12E-06,0,0,0
RODERIC,0,1.00E-05,2.68E-05,3.00E-05,0
RODERICK,1.64E-05,8.98E-05,0.000785813,8.99E-05,0.000233672
RODGER,0,9.49E-05,5.36E-05,2.40E-05,0.000116836
RODNEY,0.000191097,0.000845522,0.001812727,0.000293524,0.001168361
RODOLFO,0.002151207,1.73E-05,0,0.000449271,0.000233672
RODRICK,0,9.58E-06,0.000160734,1.20E-05,0
RODRIGO,0.001124743,1.23E-05,0,0.000185699,0
ROGELIO,0.001599755,5.47E-06,0,0.000347436,0
ROGER,0.000600591,0.001851574,0.000821531,0.000616999,0.000934689
ROHAN,1.64E-05,3.65E-06,0.000107156,5.99E-05,0.000116836
ROHIT,0,5.47E-06,0,0.000401349,0.000233672
ROLAND,0.000240236,0.000216169,0.000625078,0.000275553,0
ROLANDO,0.001201182,1.37E-05,0,0.000485213,0
ROLF,0,3.74E-05,8.93E-06,0,0.000116836
ROLLAND,5.46E-06,2.05E-05,0,5.99E-06,0
ROLLIN,0,1.64E-05,8.93E-06,1.20E-05,0
ROMA,0,1.37E-05,1.79E-05,4.79E-05,0
ROMAN,0.000453173,0.000114469,3.57E-05,2.40E-05,0.000233672
ROMEO,0.000212937,1.50E-05,3.57E-05,0.000599028,0
ROMMEL,4.91E-05,2.28E-06,8.93E-06,0.000167728,0
ROMULO,7.64E-05,2.28E-06,0,0.000155747,0
ROMY,1.09E-05,8.67E-06,0,5.39E-05,0
RON,7.64E-05,0.000240796,0.000214313,0.000167728,0.000350508
RONA,1.09E-05,2.10E-05,2.68E-05,4.79E-05,0
RONALD,0.001048304,0.005020684,0.00428625,0.001132164,0.005257624
RONALDO,0.000103738,5.93E-06,3.57E-05,0.000173718,0
RONDA,2.18E-05,0.000171476,9.82E-05,0,0.000116836
RONEN,0,6.84E-06,0,0,0
RONG,0,0,0,0.000521155,0.000116836
RONI,2.73E-05,2.65E-05,1.79E-05,1.80E-05,0.000116836
RONIT,0,9.58E-06,0,0,0
RONNA,0,2.92E-05,8.93E-06,0,0
RONNIE,0.000229316,0.000311484,0.001062633,0.000131786,0.000467344
RONNY,4.91E-05,2.42E-05,5.36E-05,2.40E-05,0.000233672
RONY,8.74E-05,6.38E-06,1.79E-05,1.20E-05,0
ROOSEVELT,0,2.28E-06,0.000535781,0,0
ROQUE,9.83E-05,5.02E-06,0,1.20E-05,0
RORY,2.73E-05,0.000105348,7.14E-05,2.40E-05,0
ROSA,0.005743832,0.000133167,0.0005715,0.000197679,0.000233672
ROSALBA,0.000453173,3.65E-06,0,5.99E-06,0
ROSALEE,2.18E-05,1.32E-05,7.14E-05,0,0
ROSALIA,0.000223857,1.09E-05,8.93E-06,3.00E-05,0
ROSALIE,0.000207477,0.00013864,5.36E-05,8.39E-05,0.000233672
ROSALINA,0.000251156,5.93E-06,0,0.000107825,0.000116836
ROSALIND,3.28E-05,4.97E-05,0.00056257,4.19E-05,0
ROSALINDA,0.000556911,1.46E-05,8.93E-06,0.000185699,0.000116836
ROSALIO,0.000163797,1.37E-06,0,2.40E-05,0
ROSALVA,0.000218397,4.56E-07,0,0,0
ROSALYN,3.82E-05,3.19E-05,0.000357188,3.59E-05,0.000116836
ROSANA,8.19E-05,4.10E-06,0,4.19E-05,0
ROSANN,5.46E-06,1.23E-05,0,1.20E-05,0
ROSANNA,7.10E-05,3.92E-05,3.57E-05,9.58E-05,0.000233672
ROSANNE,4.91E-05,8.85E-05,1.79E-05,5.99E-06,0
ROSARIO,0.001015544,3.10E-05,0,0.000323475,0
ROSAURA,0.000202017,4.56E-07,0,0,0
ROSCOE,0,1.50E-05,0.000160734,0,0
ROSE,0.000715249,0.000531301,0.001259086,0.00042531,0.000934689
ROSEANN,1.09E-05,8.57E-05,3.57E-05,5.99E-06,0
ROSEANNA,2.18E-05,1.32E-05,0,0,0
ROSEANNE,3.82E-05,4.61E-05,1.79E-05,1.20E-05,0
ROSELLA,2.73E-05,1.19E-05,1.79E-05,5.99E-06,0
ROSELYN,1.09E-05,1.37E-05,2.68E-05,3.00E-05,0
ROSEMARIE,0.000240236,0.000206136,0.000160734,0.00020966,0.000350508
ROSEMARY,0.000491392,0.000516252,0.000491133,0.000173718,0.000350508
ROSENDO,0.000404034,4.56E-07,0,4.19E-05,0
ROSETTA,2.18E-05,1.55E-05,0.00028575,1.20E-05,0.000233672
ROSHAN,0,7.30E-06,8.93E-06,0.000119806,0
ROSIE,0.000262076,2.78E-05,0.000330398,7.79E-05,0.000233672
ROSIO,8.74E-05,0,0,0,0
ROSITA,9.83E-05,6.38E-06,8.93E-06,0.000125796,0.000116836
ROSLYN,1.09E-05,3.56E-05,0.00027682,1.80E-05,0
ROSS,6.55E-05,0.000373051,3.57E-05,0.000119806,0.000350508
ROSWITHA,0,7.75E-06,0,0,0
ROWENA,3.28E-05,2.01E-05,5.36E-05,0.00022164,0.000116836
ROXANA,0.000316675,2.01E-05,8.93E-06,5.39E-05,0.000116836
ROXANE,2.18E-05,2.51E-05,8.93E-06,1.80E-05,0
ROXANN,1.09E-05,3.10E-05,8.93E-06,0,0
ROXANNA,7.10E-05,2.83E-05,1.79E-05,5.99E-06,0.000116836
ROXANNE,0.000136498,0.000219361,0.000312539,0.000107825,0.000233672
ROXIE,5.46E-06,1.64E-05,7.14E-05,0,0
ROY,0.000398574,0.000814966,0.001053703,0.000682892,0.000817853
ROYAL,0,1.92E-05,4.46E-05,1.20E-05,0.000116836
ROYCE,5.46E-06,5.11E-05,7.14E-05,1.80E-05,0
RUBEN,0.004264194,6.07E-05,0.000107156,0.000233621,0.000116836
RUBINA,2.18E-05,4.10E-06,8.93E-06,9.58E-05,0.000116836
RUBY,0.000272996,0.000122678,0.001089422,0.000383378,0.000233672
RUDOLF,1.09E-05,2.60E-05,0,1.20E-05,0
RUDOLPH,0.000234776,6.38E-05,0.000526852,5.39E-05,0.000116836
RUDY,0.000731629,6.02E-05,8.93E-05,0.000185699,0.000350508
RUFUS,5.46E-06,1.96E-05,0.000303609,1.80E-05,0.000116836
RUI,2.18E-05,1.82E-05,0,0.000365407,0
RUPERT,1.64E-05,8.67E-06,9.82E-05,4.19E-05,0
RUSLAN,0,1.73E-05,0,0,0
RUSS,5.46E-06,4.10E-05,0,2.40E-05,0
RUSSEL,0,4.51E-05,8.93E-06,1.20E-05,0
RUSSELL,0.000131038,0.001431093,0.000776883,0.000329466,0.000934689
RUSTIN,0,1.00E-05,0,0,0
RUSTY,1.64E-05,4.29E-05,0,0,0
RUTH,0.000906346,0.001066251,0.001312664,0.000347436,0.001051525
RUTHANN,5.46E-06,3.88E-05,0,0,0
RUTHANNE,0,1.37E-05,8.93E-06,0,0
RUTHIE,1.09E-05,1.14E-05,0.000133945,0,0
RYAN,0.000349435,0.002842577,0.000500063,0.000898543,0.000817853
RYANN,0,8.21E-06,0,0,0
RYSZARD,0,2.51E-05,0,0,0
SABINA,7.10E-05,2.42E-05,1.79E-05,7.79E-05,0.000116836
SABINE,0,3.19E-05,1.79E-05,0,0
SABINO,0.000158338,3.19E-06,0,1.80E-05,0
SABRA,0,1.19E-05,0,0,0
SABRINA,0.000163797,0.000179685,0.000669727,0.000125796,0.000350508
SACHIN,0,4.10E-06,0,0.000323475,0.000116836
SADIE,3.28E-05,3.10E-05,0.000142875,0,0.000467344
SAEED,0,1.92E-05,8.93E-06,9.58E-05,0
SAI,5.46E-06,1.82E-06,0,0.000263572,0
SAID,5.46E-06,2.01E-05,1.79E-05,4.79E-05,0.000116836
SAL,5.46E-05,1.46E-05,0,1.80E-05,0.000116836
SALIM,0,1.14E-05,0,0.000149757,0.000350508
SALINA,1.64E-05,5.93E-06,4.46E-05,6.59E-05,0
SALLIE,1.09E-05,5.93E-05,0.000107156,1.20E-05,0.000233672
SALLY,0.000251156,0.000847802,0.000125016,0.000329466,0.000701016
SALOMON,0.000223857,3.19E-06,8.93E-06,1.20E-05,0
SALVADOR,0.003974819,1.82E-05,8.93E-06,0.000137777,0.000116836
SALVATORE,2.73E-05,0.000300083,0,5.99E-06,0.000116836
SAM,0.000120118,0.000242164,0.00029468,0.00083864,0.000116836
SAMANTHA,0.000196557,0.000408167,0.000321469,0.00021565,0.000701016
SAMEER,0,8.67E-06,0,0.000233621,0.000233672
SAMER,5.46E-06,2.69E-05,1.79E-05,5.99E-05,0
SAMI,1.09E-05,2.37E-05,2.68E-05,3.59E-05,0
SAMIR,3.28E-05,4.61E-05,8.93E-06,0.00041932,0.000233672
SAMIRA,2.18E-05,1.60E-05,3.57E-05,3.00E-05,0.000116836
SAMMIE,5.46E-06,1.00E-05,0.000258961,1.20E-05,0
SAMMY,5.46E-05,4.56E-05,0.000125016,0.000125796,0.000233672
SAMSON,1.64E-05,5.93E-06,0.000142875,0.000191689,0
SAMUEL,0.002091148,0.001102279,0.002768203,0.001072261,0.001518869
SAN,0.000114658,1.37E-06,0,0.000185699,0.000116836
SANDEEP,5.46E-06,1.23E-05,0,0.000646951,0.000233672
SANDER,0,6.84E-06,0,0,0
SANDHYA,0,2.74E-06,0,0.00020966,0.000116836
SANDI,1.64E-05,6.48E-05,8.93E-06,3.00E-05,0.000116836
SANDOR,5.46E-06,1.41E-05,8.93E-06,0,0
SANDRA,0.004062178,0.003881465,0.003804047,0.00062299,0.003505082
SANDY,0.000218397,0.000176492,0.000107156,0.00064096,0.000350508
SANFORD,0,4.24E-05,4.46E-05,3.00E-05,0
SANG,0,2.74E-06,0,0.001186076,0
SANGEETA,0,4.10E-06,0,0.000233621,0
SANGITA,0,3.65E-06,0,0.000149757,0.000116836
SANJAY,5.46E-06,1.64E-05,0,0.001305882,0.00058418
SANJEEV,5.46E-06,7.30E-06,0,0.000521155,0.000116836
SANJIV,0,3.65E-06,0,0.000233621,0
SANTA,9.28E-05,9.12E-06,1.79E-05,1.80E-05,0
SANTIAGO,0.001255781,9.12E-06,0,3.59E-05,0
SANTO,3.28E-05,2.19E-05,0,0,0
SANTOS,0.001053764,2.74E-06,0,1.20E-05,0
SANTOSH,5.46E-06,4.56E-06,0,0.000287534,0
SARA,0.001157502,0.001311608,0.000303609,0.00022164,0.000701016
SARAH,0.00066611,0.002764135,0.001009055,0.000802698,0.002336722
SARI,0,1.60E-05,8.93E-06,1.20E-05,0
SARINA,0,1.19E-05,0,4.19E-05,0
SARITA,2.73E-05,9.12E-06,0.000142875,0.000131786,0.000116836
SARKIS,0,2.74E-05,0,1.80E-05,0
SASHA,3.28E-05,3.60E-05,4.46E-05,1.20E-05,0
SATISH,0,9.12E-06,0,0.000563087,0.000350508
SATYA,0,8.21E-06,8.93E-06,0.000143767,0.000233672
SAU,0,0,0,0.000107825,0
SAUL,0.001108363,3.79E-05,3.57E-05,0,0
SAUNDRA,2.18E-05,6.16E-05,0.000250031,0,0.000116836
SAVANNAH,5.46E-06,1.69E-05,5.36E-05,5.99E-06,0
SAVERIO,0,1.14E-05,0,0,0
SAVITA,5.46E-06,2.28E-06,0,0.000161738,0.000233672
SAWSAN,0,7.30E-06,0,0,0
SAYED,0,7.30E-06,0,0.000125796,0
SCARLETT,1.09E-05,1.50E-05,0,0,0
SCHUYLER,0,1.05E-05,0,0,0
SCOT,5.46E-06,0.000142288,1.79E-05,3.00E-05,0
SCOTT,0.000343975,0.006610484,0.000357188,0.000766756,0.002103049
SCOTTIE,5.46E-06,1.73E-05,6.25E-05,0,0
SCOTTY,1.09E-05,3.15E-05,2.68E-05,2.40E-05,0
SEAMUS,0,1.41E-05,0,0,0
SEAN,0.000185637,0.001695604,0.000830461,0.000461252,0.001402033
SEBASTIAN,0.000262076,5.34E-05,6.25E-05,8.99E-05,0
SEE,0,0,0,0.000125796,0
SEEMA,0,9.58E-06,0,0.000323475,0.000350508
SEGUNDO,0.000202017,9.12E-07,0,2.40E-05,0
SELENA,4.91E-05,2.37E-05,0.000151805,4.19E-05,0
SELINA,5.46E-05,1.60E-05,8.93E-05,7.19E-05,0.000116836
SELMA,1.09E-05,1.82E-05,5.36E-05,1.20E-05,0
SEN,0,0,0,0.000101835,0
SENG,0,1.37E-06,0,0.000161738,0
SEOK,0,0,0,9.58E-05,0
SEONG,0,9.12E-07,0,0.00022164,0
SERAFIN,0.000185637,2.74E-06,8.93E-06,4.79E-05,0
SERENA,2.18E-05,4.83E-05,8.93E-05,0.000119806,0
SERGE,5.46E-06,2.60E-05,0.000125016,0,0
SERGEI,0,1.92E-05,0,5.99E-06,0
SERGEY,0,9.35E-05,0,1.80E-05,0
SERGIO,0.004351553,6.43E-05,4.46E-05,8.99E-05,0
SERGIY,0,7.30E-06,0,0,0
SETH,1.64E-05,0.000408623,7.14E-05,3.59E-05,0.000116836
SEUNG,0,1.82E-06,0,0.000473232,0
SEYED,5.46E-06,1.09E-05,0,5.99E-05,0
SEYMOUR,0,2.01E-05,4.46E-05,1.20E-05,0
SHAD,0,2.65E-05,0,0,0.000116836
SHADI,0,1.00E-05,0,0,0
SHAE,0,1.14E-05,0,0,0
SHAHID,0,6.38E-06,8.93E-06,0.000179709,0.000116836
SHAHIN,1.09E-05,1.14E-05,0,2.40E-05,0
SHAHRAM,0,1.32E-05,0,5.99E-06,0
SHAILESH,0,5.02E-06,0,0.000239611,0
SHAINA,0,1.14E-05,0,0,0
SHALINI,0,2.74E-06,0,0.000149757,0
SHAN,0,1.19E-05,0,0.000263572,0
SHANA,1.09E-05,9.90E-05,0.000133945,2.40E-05,0.000116836
SHANDA,5.46E-06,2.65E-05,0.000107156,5.99E-06,0
SHANE,5.46E-05,0.00058694,8.93E-05,9.58E-05,0.000350508
SHANKAR,5.46E-06,4.56E-06,0,0.000131786,0
SHANNA,1.64E-05,9.03E-05,3.57E-05,2.40E-05,0.000233672
SHANNAN,2.18E-05,2.87E-05,0,0,0.000116836
SHANNON,0.000196557,0.001421972,0.000803672,0.000107825,0.000701016
SHANON,5.46E-06,2.55E-05,3.57E-05,5.99E-06,0
SHANTI,5.46E-06,5.47E-06,1.79E-05,8.99E-05,0
SHAO,0,0,0,0.00020367,0
SHARA,1.09E-05,2.23E-05,8.93E-06,5.99E-06,0.000116836
SHARAD,5.46E-06,4.56E-06,0,0.000125796,0.000116836
SHAREE,0,1.23E-05,3.57E-05,0,0
SHAREN,5.46E-06,1.46E-05,8.93E-06,5.99E-06,0
SHARI,3.82E-05,0.000292786,0.000125016,5.39E-05,0.000233672
SHARILYN,0,1.46E-05,0,0,0
SHARLA,0,3.06E-05,1.79E-05,0,0.000116836
SHARLENE,1.64E-05,4.47E-05,5.36E-05,3.59E-05,0
SHARON,0.000327595,0.003393944,0.004196953,0.000916513,0.003037738
SHARRON,0,5.61E-05,0.000116086,0,0
SHARYL,0,1.87E-05,8.93E-06,1.20E-05,0
SHARYN,5.46E-06,4.97E-05,8.93E-06,5.99E-06,0.000116836
SHASHI,5.46E-06,2.74E-06,0,0.000149757,0
SHAUN,2.73E-05,0.000298715,0.000241102,0.000107825,0.000467344
SHAUNA,5.46E-06,0.00012131,0.000160734,1.80E-05,0
SHAWN,0.000174717,0.001390505,0.000875109,0.000311495,0.001402033
SHAWNA,3.82E-05,0.000174212,7.14E-05,1.80E-05,0.000233672
SHAWNEE,0,8.21E-06,0,0,0
SHAY,0,2.83E-05,1.79E-05,0,0.000116836
SHAYLA,5.46E-06,1.23E-05,0.000125016,0,0
SHAYNA,5.46E-06,1.82E-05,1.79E-05,1.20E-05,0
SHAYNE,0,3.06E-05,8.93E-06,1.20E-05,0
SHEA,5.46E-06,2.78E-05,3.57E-05,5.99E-06,0
SHEELA,1.09E-05,4.10E-06,0,0.000119806,0
SHEENA,2.73E-05,3.74E-05,0.000169664,4.79E-05,0.000233672
SHEILA,0.000245696,0.00098325,0.001893094,0.000305504,0.001168361
SHEILAH,5.46E-06,1.00E-05,4.46E-05,1.80E-05,0
SHELAGH,0,8.21E-06,0,0,0
SHELBY,2.18E-05,0.000132711,0.000142875,5.99E-06,0.000116836
SHELDON,5.46E-06,0.000114925,0.00027682,5.99E-05,0
SHELIA,5.46E-06,5.56E-05,0.000464344,0,0
SHELLEY,3.82E-05,0.000491169,0.000214313,0.000131786,0.000350508
SHELLI,1.09E-05,4.65E-05,8.93E-06,0,0
SHELLIE,1.09E-05,4.93E-05,6.25E-05,1.20E-05,0
SHELLY,6.01E-05,0.00046335,0.000187523,0.000131786,0.000467344
